T,c4,C1,DC1,n,c,vlin,b,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,phi,tau,sigma,phiS2S
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,10,7.2,-0.3,1.18,1.88,865.1,-1.186,5.87504394,-1.75359772,0.13125248,0.80276784,-0.33486952,-0.00039095,1.0988,-1.42,0.4,4.53143081,0.0056735,1.01494528,0,-0.73080261,0.9969,-1,0.6911808,0.47462209,0.83844918,0.56436373
0.02,10,7.2,-0.3,1.18,1.88,865.1,-1.186,5.97631438,-1.77010766,0.12246057,0.84131709,-0.28054559,-0.00038903,1.0988,-1.42,0.4,4.57416129,0.00565448,1.03738201,0,-0.73868917,0.9969,-1,0.69938258,0.47631913,0.84617723,0.57187735
0.05,10,7.2,-0.3,1.18,1.88,1053.5,-1.346,7.45297044,-2.03336398,0.08332151,1.03131243,-0.03954116,0,1.2536,-1.65,0.4,4.56070915,0.00848068,1.31034079,0,-0.69848828,1.103,-1.18,0.70173433,0.53776165,0.884092,0.57850117
0.075,10,7.2,-0.3,1.18,1.88,1085.7,-1.471,8.04759521,-2.10610081,0.08012671,1.03436999,-0.01295063,-9.64E-05,1.4175,-1.8,0.4,4.36639286,0.00921589,1.48158019,0,-0.65335577,1.2732,-1.36,0.71412373,0.56188074,0.90867082,0.59936738
0.1,10,7.2,-0.3,1.18,1.88,1032.5,-1.624,7.76085108,-1.99370934,0.0730312,1.07565004,0.00758131,-0.00078515,1.3997,-1.8,0.4,3.90922953,0.00629627,1.65618649,0,-0.5505116,1.3042,-1.36,0.741128,0.52707475,0.90943856,0.63409914
0.15,10,7.2,-0.3,1.18,1.88,877.6,-1.931,6.171919,-1.58654201,0.05481839,1.17061492,0.10490549,-0.00267532,1.3582,-1.69,0.4,3.06236311,0.00558843,1.93944484,0,-0.42997222,1.26,-1.3,0.74606525,0.50642417,0.90170882,0.63021739
0.2,10,7.2,-0.3,1.18,1.88,748.2,-2.188,4.83403302,-1.2971103,0.05249728,1.20531288,0.17968066,-0.0033759,1.1648,-1.49,0.4,3.50112817,0.00319554,2.08901131,0,-0.53087673,1.223,-1.25,0.7451527,0.44618739,0.86852504,0.61699385
0.25,10,7.2,-0.3,1.18,1.88,654.3,-2.381,4.42687615,-1.18774055,0.02995137,1.37607187,0.22912175,-0.00355237,0.994,-1.3,0.4,3.62815675,0.001817,2.25003086,0,-0.58085678,1.16,-1.17,0.72855743,0.45040229,0.85653847,0.58609155
0.3,10,7.2,-0.3,1.18,1.88,587.1,-2.518,4.57008643,-1.24895678,0.03865827,1.34990775,0.15592549,-0.00244847,0.8821,-1.18,0.4,3.87633808,0.00212947,2.283387,0,-0.66280655,1.05,-1.06,0.72093248,0.42549471,0.83713164,0.57014335
0.4,10,7.2,-0.3,1.18,1.88,503,-2.657,3.98311294,-1.13377346,0.04682762,1.3795388,0.11670946,-0.00207613,0.7046,-0.98,0.4,4.03388062,0.00068979,2.3140873,0,-0.72244113,0.8,-0.78,0.71005053,0.42945015,0.82981877,0.54795548
0.5,10,7.2,-0.3,1.18,1.88,456.6,-2.669,4.8603434,-1.38019755,0.03822425,1.51949871,0.18347677,-1.90E-05,0.5799,-0.82,0.4,4.31418239,0.0006478,2.33333479,0,-0.79644275,0.662,-0.62,0.66934213,0.43333698,0.79737057,0.49113105
